"","V1","V2","V3","V4","V5"
"412",1,37,2508277,1,2508313
"413",1,96,2517990,1,2518085
"414",1,380,2523203,1,2523582
"415",1,28,2532716,1,2532743
"416",1,43,2538985,1,2539027
"417",1,32,2539794,1,2539825
"418",1,76,2540381,1,2540456
"419",1,27,2546558,1,2546584
"420",1,44,2547125,1,2547168
"421",1,31,2555061,1,2555091
"422",1,76,2560392,1,2560467
"423",1,49,2560909,1,2560957
"424",1,85,2562192,1,2562276
"425",1,118,2567721,1,2567838
"426",1,32,2568943,1,2568974
"427",1,58,2574273,1,2574330
"428",1,390,2574683,1,2575072
"429",1,72,2580612,1,2580683
"430",1,119,2594871,1,2594989
"431",1,185,2597951,1,2598135
"432",1,1,2604883,1,2604883
"433",1,7,2609418,1,2609424
"434",1,50,2616878,1,2616927
"435",1,60,2617691,1,2617750
"436",1,344,2621483,1,2621826
"437",1,80,2622141,1,2622220
"438",1,49,2634824,1,2634872
"439",1,102,2643776,1,2643877
"440",1,93,2644662,1,2644754
"441",1,63,2654635,1,2654697
"442",1,71,2655703,1,2655773
"443",1,45,2658076,1,2658120
"444",1,112,2658730,1,2658841
"445",1,60,2659739,1,2659798
"446",1,52,2663530,1,2663581
"447",1,79,2664402,1,2664480
"448",1,11,2664898,1,2664908
"449",1,10,2665731,1,2665740
"450",1,1,2666834,1,2666834
"451",1,61,2675051,1,2675111
"452",1,53,2675869,1,2675921
"453",1,110,2679683,1,2679792
"454",1,181,2680256,1,2680436
"455",1,113,2680945,1,2681057
"456",1,125,2681556,1,2681680
"457",1,65,2682670,1,2682734
"458",1,47,2683636,1,2683682
"459",1,26,2686389,1,2686414
"460",1,175,2686877,1,2687051
"461",1,153,2689839,1,2689991
"462",1,49,2690709,1,2690757
"463",1,132,2694381,1,2694512
"464",1,215,2694837,1,2695051
"465",1,178,2695350,1,2695527
"466",1,138,2697716,1,2697853
"467",1,177,2698629,1,2698805
"468",1,140,2699173,1,2699312
"469",1,122,2700193,1,2700314
"470",1,93,2701993,1,2702085
"471",1,143,2705664,1,2705806
"472",1,80,2706656,1,2706735
"473",1,42,2709729,1,2709770
"474",1,121,2710206,1,2710326
"475",1,147,2721070,1,2721216
"476",1,106,2721848,1,2721953
"477",1,169,2724651,1,2724819
"478",1,160,2725201,1,2725360
"479",1,8,2727010,1,2727017
"480",1,140,2731021,1,2731160
"481",1,72,2734293,1,2734364
"482",1,141,2738432,1,2738572
"483",1,28,2739102,1,2739129
"484",1,16,2747237,1,2747252
"485",1,28,2747679,1,2747706
"486",1,391,2751513,1,2751903
"487",1,23,2759650,1,2759672
"488",1,107,2763663,1,2763769
"489",1,80,2766890,1,2766969
"490",1,115,2767223,1,2767337
"491",1,142,2767796,1,2767937
"492",1,87,2783361,1,2783447
"493",1,2,2783842,1,2783843
"494",1,34,2785223,1,2785256
"495",1,70,2788500,1,2788569
"496",1,51,2789042,1,2789092
"497",1,68,2789341,1,2789408
"498",1,61,2790576,1,2790636
"499",1,96,2792680,1,2792775
"500",1,44,2793866,1,2793909
"501",1,81,2794838,1,2794918
"502",1,74,2795560,1,2795633
"503",1,90,2796573,1,2796662
"504",1,109,2797808,1,2797916
"505",1,255,2800065,1,2800319
"506",1,21,2804477,1,2804497
"507",1,31,2808931,1,2808961
"508",1,69,2811744,1,2811812
"509",1,119,2812133,1,2812251
"510",1,10,2822984,1,2822993
"511",1,1,2826658,1,2826658
"512",1,132,2827162,1,2827293
"513",1,62,2828065,1,2828126
"514",1,124,2833655,1,2833778
"515",1,107,2834305,1,2834411
"516",1,20,2835728,1,2835747
"517",1,1,2844553,1,2844553
"518",1,93,2847010,1,2847102
"519",1,25,2847613,1,2847637
"520",1,44,2848190,1,2848233
"521",1,126,2853834,1,2853959
"522",1,62,2854333,1,2854394
"523",1,76,2854827,1,2854902
"524",1,73,2856004,1,2856076
"525",1,117,2860650,1,2860766
"526",1,203,2861086,1,2861288
"527",1,139,2861752,1,2861890
"528",1,95,2862682,1,2862776
"529",1,148,2863559,1,2863706
"530",1,60,2864391,1,2864450
"531",1,57,2867211,1,2867267
"532",1,89,2867912,1,2868000
"533",1,107,2868477,1,2868583
"534",1,74,2868967,1,2869040
"535",1,78,2871836,1,2871913
"536",1,53,2872656,1,2872708
"537",1,127,2873580,1,2873706
"538",1,86,2876958,1,2877043
"539",1,57,2877424,1,2877480
"540",1,76,2878108,1,2878183
"541",1,24,2881802,1,2881825
"542",1,99,2887230,1,2887328
"543",1,90,2888180,1,2888269
"544",1,117,2890640,1,2890756
"545",1,86,2897109,1,2897194
"546",1,39,2897742,1,2897780
"547",1,85,2898472,1,2898556
"548",1,38,2901850,1,2901887
"549",1,153,2910041,1,2910193
"550",1,132,2910586,1,2910717
"551",1,94,2911170,1,2911263
"552",1,117,2913584,1,2913700
"553",1,118,2924993,1,2925110
"554",1,91,2925518,1,2925608
"555",1,74,2926024,1,2926097
"556",1,72,2928320,1,2928391
"557",1,54,2934235,1,2934288
"558",1,90,2934645,1,2934734
"559",1,50,2935216,1,2935265
"560",1,39,2941769,1,2941807
"561",1,28,2942460,1,2942487
"562",1,89,2946077,1,2946165
"563",1,58,2946970,1,2947027
"564",1,86,2947402,1,2947487
"565",1,120,2947855,1,2947974
"566",1,142,2948726,1,2948867
"567",1,85,2952906,1,2952990
"568",1,48,2954038,1,2954085
"569",1,23,2954787,1,2954809
"570",1,73,2955196,1,2955268
"571",1,58,2956777,1,2956834
"572",1,57,2962297,1,2962353
"573",1,33,2962903,1,2962935
"574",1,15,2964174,1,2964188
"575",1,61,2967382,1,2967442
"576",1,39,2971095,1,2971133
"577",1,69,2971704,1,2971772
"578",1,78,2972351,1,2972428
"579",1,190,2977683,1,2977872
"580",1,99,2978208,1,2978306
"581",1,90,2978663,1,2978752
"582",1,9,2979555,1,2979563
"583",1,2,2983885,1,2983886
"584",1,30,2984319,1,2984348
"585",1,28,2996524,1,2996551
"586",1,53,2997014,1,2997066
"587",1,3,2997664,1,2997666
"588",1,3,2999684,1,2999686
"589",1,56,3000623,1,3000678
"590",1,13,3001437,1,3001449
"591",1,79,3011219,1,3011297
"592",1,35,3018324,1,3018358
"593",1,27,3019442,1,3019468
"594",1,53,3023078,1,3023130
"595",1,87,3023425,1,3023511
"596",1,33,3024128,1,3024160
"597",1,155,3024526,1,3024680
"598",1,225,3024948,1,3025172
"599",1,124,3025607,1,3025730
"600",1,81,3032720,1,3032800
"601",1,54,3034117,1,3034170
"602",1,55,3034843,1,3034897
"603",1,37,3035513,1,3035549
"604",1,42,3039177,1,3039218
"605",1,135,3041665,1,3041799
"606",1,96,3042986,1,3043081
"607",1,175,3047661,1,3047835
"608",2,104,5569479,1,5569582
"609",2,83,5570734,1,5570816
"610",2,110,5577381,1,5577490
"611",2,102,5579057,1,5579158
"612",2,187,5583368,1,5583554
"613",2,215,5583872,1,5584086
"614",2,109,5592554,1,5592662
"615",2,193,5599498,1,5599690
"616",2,130,5600285,1,5600414
"617",2,145,5607634,1,5607778
"618",2,114,5614203,1,5614316
"619",2,147,5620494,1,5620640
"620",2,73,5621579,1,5621651
"621",2,100,5633480,1,5633579
"622",2,134,5634265,1,5634398
"623",2,106,5637158,1,5637263
"624",2,170,5640494,1,5640663
"625",2,94,5646735,1,5646828
"626",2,143,5648611,1,5648753
"627",2,137,5655257,1,5655393
"628",2,177,5655935,1,5656111
"629",2,136,5661208,1,5661343
"630",2,122,5668756,1,5668877
"631",2,109,5669629,1,5669737
"632",2,132,5676124,1,5676255
"633",2,156,5681556,1,5681711
"634",2,96,5682552,1,5682647
"635",2,112,5683227,1,5683338
"636",2,118,5684403,1,5684520
"637",2,62,5688580,1,5688641
"638",2,123,5689231,1,5689353
"639",2,80,5690089,1,5690168
"640",2,124,5691814,1,5691937
"641",2,98,5697033,1,5697130
"642",2,119,5703984,1,5704102
"643",2,119,5705045,1,5705163
"644",2,108,5705773,1,5705880
"645",2,72,5710877,1,5710948
"646",2,104,5711244,1,5711347
"647",2,81,5712237,1,5712317
"648",2,163,5718624,1,5718786
"649",2,50,5722087,1,5722136
