"","","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"458",10,5484886,1234,5486120,3984,5490104
"459",10,5498586,1451,5500037,3767,5503804
"460",10,5505453,1301,5506754,3917,5510671
"461",10,5556487,2034,5558521,3184,5561705
"462",10,5563488,1966,5565454,3252,5568706
"463",11,8461566,1767,8463333,3451,8466784
"464",11,8572135,1566,8573701,3652,8577353
"465",11,8585851,2701,8588552,2517,8591069
"466",11,8606468,3251,8609719,1967,8611686
"467",11,8641519,2617,8644136,2601,8646737
"468",11,8663336,1900,8665236,3318,8668554
"469",11,8687236,2117,8689353,3101,8692454
"470",11,8721504,2183,8723687,3035,8726722
"471",11,8764888,2683,8767571,2535,8770106
"472",11,8772704,2234,8774938,2984,8777922
"473",11,8779571,1534,8781105,3684,8784789
"474",11,8826555,1734,8828289,3484,8831773
"475",11,8860989,1617,8862606,3601,8866207
"476",11,8867839,1451,8869290,3767,8873057
"477",11,8888556,3117,8891673,2101,8893774
"478",11,9062176,3833,9066009,1385,9067394
"479",11,9131093,5334,9136427,1017,9137444
"480",11,9139277,1267,9140544,3951,9144495
"481",11,9159861,1183,9161044,4034,9165078
"482",11,9195794,1467,9197261,3751,9201012
"483",11,9237912,1217,9239129,4001,9243130
"484",11,9327663,3384,9331047,1834,9332881
"485",11,9387314,2184,9389498,3034,9392532
"486",11,9459015,1367,9460382,3851,9464233
"487",11,9507016,1417,9508433,3801,9512234
"488",11,9534550,1317,9535867,3901,9539768
"489",11,9548417,1183,9549600,4035,9553635
"490",11,9563434,1767,9565201,3450,9568651
"491",11,9579317,1217,9580534,4001,9584535
"492",11,9607251,1850,9609101,3368,9612469
"493",11,9614118,1433,9615551,3785,9619336
"494",11,9628001,1984,9629985,3234,9633219
"495",11,9712986,1917,9714903,3301,9718204
"496",11,9719836,1584,9721420,3634,9725054
"497",11,9726703,1650,9728353,3568,9731921
"498",11,9747286,1051,9748337,4167,9752504
"499",11,9803104,1334,9804438,3884,9808322
"500",11,9840938,1634,9842572,3584,9846156
"501",12,12036673,1750,12038423,3468,12041891
"502",12,12050556,3050,12053606,2168,12055774
"503",12,12057423,2817,12060240,2401,12062641
"504",12,12123607,1117,12124724,4101,12128825
"505",12,12176792,1500,12178292,3717,12182009
"506",12,12184442,5050,12189492,1017,12190509
"507",12,12193342,1283,12194625,3935,12198560
"508",12,12278410,3917,12282327,1301,12283628
"509",12,12310727,1134,12311861,4084,12315945
"510",12,12317594,1333,12318927,3885,12322812
"511",12,12357861,3817,12361678,1401,12363079
"512",12,12374328,1450,12375778,3768,12379546
"513",12,12388061,2401,12390462,2817,12393279
"514",12,12525647,3267,12528914,1951,12530865
"515",12,12550831,1233,12552064,3985,12556049
"516",12,12632582,1684,12634266,3534,12637800
"517",12,12649216,1367,12650583,3850,12654433
"518",12,12657149,1650,12658799,3568,12662367
"519",12,12677933,2000,12679933,3218,12683151
"520",12,12708350,1967,12710317,3251,12713568
"521",12,12715467,1517,12716984,3701,12720685
"522",12,12763251,1600,12764851,3618,12768469
"523",12,12785084,1484,12786568,3734,12790302
"524",12,12808485,1717,12810202,3501,12813703
"525",12,12844152,1250,12845402,3968,12849370
"526",12,12884686,1684,12886370,3534,12889904
"527",12,12922220,1183,12923403,4035,12927438
"528",12,13074839,2434,13077273,2784,13080057
"529",12,13096056,1650,13097706,3568,13101274
"530",12,13150590,1484,13152074,3734,13155808
"531",12,13157457,1167,13158624,4051,13162675
"532",12,13167390,1834,13169224,3384,13172608
"533",12,13239658,1601,13241259,3617,13244876
"534",12,13277142,1267,13278409,3951,13282360
"535",12,13391527,1267,13392794,3951,13396745
"536",12,13413228,1533,13414761,3685,13418446
"537",12,13427795,1383,13429178,3835,13433013
"538",12,13456778,1217,13457995,4001,13461996
"539",12,13480895,951,13481846,4267,13486113
"540",12,13507646,2150,13509796,3068,13512864
"541",12,13522429,1417,13523846,3801,13527647
"542",12,13544397,3233,13547630,1984,13549614
"543",12,13578914,1600,13580514,3618,13584132
"544",12,13592764,1767,13594531,3451,13597982
"545",12,13601314,1367,13602681,3851,13606532
"546",12,13614614,1234,13615848,3984,13619832
"547",12,13642298,1400,13643698,3818,13647516
"548",12,13656132,1250,13657382,3968,13661350
"549",13,3792085,2067,3794152,3151,3797303
"550",13,3805785,1217,3807002,4001,3811003
"551",13,3812652,1433,3814085,3785,3817870
"552",13,3868403,2067,3870470,3151,3873621
"553",13,3896103,2217,3898320,3001,3901321
"554",13,4043655,1751,4045406,3467,4048873
"555",13,4058189,1117,4059306,4101,4063407
"556",13,4135257,1933,4137190,3285,4140475
"557",13,4179391,1300,4180691,3918,4184609
"558",13,4186808,2267,4189075,2951,4192026
"559",13,4242892,1250,4244142,3968,4248110
"560",13,4249725,4167,4253892,1051,4254943
"561",13,4257742,1584,4259326,3634,4262960
"562",13,4286093,2416,4288509,2802,4291311
"563",13,4294209,1884,4296093,3334,4299427
"564",13,4356544,1083,4357627,4135,4361762
"565",13,4377127,1284,4378411,3934,4382345
"566",13,4411528,1434,4412962,3784,4416746
"567",13,4425211,1134,4426345,4084,4430429
"568",13,4467445,1351,4468796,3867,4472663
"569",13,4474312,1117,4475429,4101,4479530
"570",13,4494879,1367,4496246,3851,4500097
"571",13,4502296,1683,4503979,3535,4507514
"572",13,4544930,817,4545747,4401,4550148
"573",13,4565530,1667,4567197,3551,4570748
"574",13,4593864,1084,4594948,4134,4599082
"575",13,4621448,817,4622265,4401,4626666
"576",13,4635148,2317,4637465,2901,4640366
"577",13,4670999,1183,4672182,4034,4676216
"578",13,4712349,2167,4714516,3051,4717567
"579",13,4719183,2117,4721300,3101,4724401
"580",13,4726033,2334,4728367,2884,4731251
"581",13,4733516,3084,4736600,2134,4738734
"582",13,4769700,6300,4776000,1017,4777017
"583",13,4792817,1934,4794751,3284,4798035
"584",13,4799667,1334,4801001,3884,4804885
"585",13,4806517,1301,4807818,3917,4811735
"586",13,4813351,1500,4814851,3718,4818569
"587",13,4827918,1150,4829068,4068,4833136
"588",13,4849051,1167,4850218,4051,4854269
"589",13,4862918,1084,4864002,4134,4868136
"590",13,4913719,2034,4915753,3184,4918937
"591",13,4982237,2083,4984320,3135,4987455
"592",13,5033404,2284,5035688,2934,5038622
"593",13,5047238,783,5048021,4435,5052456
"594",13,5062255,3084,5065339,2134,5067473
"595",13,5069138,1451,5070589,3767,5074356
"596",13,5082838,1284,5084122,3934,5088056
"597",13,5103806,1750,5105556,3467,5109023
"598",13,5138123,1583,5139706,3635,5143341
"599",13,5165540,1933,5167473,3285,5170758
"600",14,11239436,1617,11241053,3601,11244654
"601",14,11259970,2950,11262920,2267,11265187
"602",14,11327787,1384,11329171,3834,11333005
"603",14,11349254,917,11350171,4301,11354472
"604",14,11444589,1500,11446089,3718,11449807
"605",14,11596141,2267,11598408,2951,11601359
